,Session,Measured_Mean,Measured_Median,Measured_Std,Reference_Mean,Reference_Median,Reference_Std,Count,Absolute_Diff,Relative_Diff_Percent
0,SL0004_2025-02-26,12.025746268656716,12.0,3.391834847947909,11.194504360949406,11.999781173593865,2.2607609014576986,290,0.00021882640613490878,0.0018235866385334387
1,SL0005_2025-02-27,21.0906940874036,21.0,2.32013614546558,20.99327791317695,20.999999999999982,1.5686143771191052,396,1.7763568394002505e-14,8.458842092382153e-14
2,SL0006_2025-03-02,15.434958448753465,15.0,2.6445369392898823,14.789382192955157,14.999428878720474,1.7643268822687093,362,0.0005711212795258547,0.003807620171032633
3,SL0007_2025-03-03,15.66,15.24,2.0566642628071934,14.810308691350018,14.998821180793604,1.9394864414666426,439,0.2411788192063966,1.6079851629622242
4,SL0008_2025-03-04,14.925915492957746,13.98,3.593922547516521,13.451928673144527,13.000693635203847,2.253756326556343,431,0.9793063647961535,7.532723962853373
5,SL0009_2025-03-06,15.490487106017193,14.52,3.531140781930965,15.16134986066801,14.987913760752042,2.6446097262462915,356,0.46791376075204205,3.121940573059207
6,SL0010_2025-03-08,20.62486646884273,21.0,3.2937010676726253,20.946543027501086,20.998665272297842,1.4593240818016138,361,0.001334727702158034,0.006356250194239024
7,SL0010_2025-03-09,20.43618147448015,19.98,2.892603382878649,20.196359586221842,20.003050372335807,2.1368209318696447,540,0.023050372335806202,0.11523428630507693
8,SL0011_2025-03-10,12.161052631578949,10.98,4.404945545992356,10.301288722412277,10.001758147019897,2.3407412816838016,502,0.9782418529801031,9.780698939131796
9,SL0011_2025-03-11,12.68390041493776,11.52,4.034323801942371,,,,510,,
10,SL0012_2025-03-12,14.938865248226952,12.479999999999999,5.0954447306516775,13.739485748301162,12.006401629457363,3.041609440217746,446,0.47359837054263565,3.944548792876257
11,SL0012_2025-03-13,16.560837209302324,15.0,4.861331869888641,15.204136790816923,14.00438966334989,3.2447507017526194,448,0.9956103366501097,7.109273310608217
12,SL0013_2025-03-15,20.81328358208955,20.520000000000003,3.547968076308304,18.624400189328636,18.98979716908402,3.1401091897575064,420,1.5302028309159823,8.058026198443024
13,SL0014_2025-03-22,12.469364548494982,10.020000000000001,5.9860303199047955,10.655199419073227,9.008397481004208,3.566247821264062,310,1.0116025189957938,11.229550218326132
14,SL0015_2025-03-30,15.30177339901478,14.52,2.7838704397059173,14.93262454484589,14.99355721578387,2.239280846642767,458,0.47355721578387033,3.158404699889042
15,SL0016_2025-04-01,16.426499999999997,16.259999999999998,2.91507985017827,16.06099739767687,17.000000000000004,4.4298004386003935,338,0.7400000000000055,4.35294117647062
16,SL0017_2025-04-06,19.285632911392405,19.5,3.4910552247534676,19.161569917550423,19.006221536907248,2.563620184299167,371,0.4937784630927524,2.5979833084335477
17,SL0018_2025-04-09,17.159714285714287,16.979999999999997,2.3030178218206636,16.509987832195648,16.005455728006037,2.3055592534254594,454,0.9745442719939597,6.088825513969721
18,SL0019_2025-04-10,17.034583333333334,16.5,2.3837293234004107,16.657962749458687,16.017416028156358,1.634324210953843,464,0.482583971843642,3.012870309389027
19,SL0020_2025-04-14,20.127800586510265,19.740000000000002,1.4878476859503766,20.30138031084361,19.997176576396292,2.2516620081485925,383,0.2571765763962901,1.2860644372158467
20,SL0020_2025-04-15,19.889655172413793,19.5,1.7480156540461678,20.016034482257822,19.00189292559053,2.1612522066389976,288,0.49810707440947155,2.6213550216286765
21,SL0021_2025-04-16,14.856000000000002,13.98,3.1362988118907005,15.026949370731023,13.999999999999986,3.304509044899312,415,0.019999999999985363,0.14285714285703846
